"id","name","slug","status","address","note","created_at","updated_at","deleted_at","created_by","updated_by","deleted_by"
"94","Incepta Pharmaceuticals Ltd. (Dhamrai Unit)","incepta-pharmaceuticals-ltd.-(dhamrai-unit)","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"95","Incepta Pharmaceuticals Ltd., Chemical Division","incepta-pharmaceuticals-ltd.,-chemical-division","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"96","Incepta Pharmaceuticals Ltd., Vaccine Division","incepta-pharmaceuticals-ltd.,-vaccine-division","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"97","Indo-Bangla Pharmaceuticals Ltd.","indo-bangla-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"98","Islam Oxygen (Pvt) Ltd.","islam-oxygen-(pvt)-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"99","Jayson Pharmaceuticals Ltd.","jayson-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"100","Jenphar Bangladesh Ltd.","jenphar-bangladesh-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"101","JMI Industrial Gas Ltd.","jmi-industrial-gas-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"102","JMI Syringes & Medical Devices Ltd.","jmi-syringes-&-medical-devices-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"103","JP Pharmaceuticals (Veterinary)","jp-pharmaceuticals-(veterinary)","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"104","JR Pharmaceuticals Ltd.","jr-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"105","Kemiko Pharmaceuticals Ltd.","kemiko-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"106","Kumudini Pharma Ltd.","kumudini-pharma-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"107","Labaid Pharmaceuticals Ltd.","labaid-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"108","Leader Pharmaceuticals Limited","leader-pharmaceuticals-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"109","Leon Pharmaceuticals Ltd.","leon-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"110","Libra Infusion Limited","libra-infusion-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"111","Linde Bangladesh Limited","linde-bangladesh-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"112","Maks Drugs Ltd.","maks-drugs-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"113","Marksman Pharmaceutical Ltd.","marksman-pharmaceutical-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"114","Medicon Pharmaceuticals Ltd.","medicon-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"115","Medimet Pharmaceuticals Ltd.","medimet-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"116","MedRx Life Science Ltd.","medrx-life-science-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"117","Millat Pharmaceuticals Ltd.","millat-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"118","Modern Pharmaceuticals Ltd.","modern-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"119","Momtaz Pharmaceuticals Ltd.","momtaz-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"120","Monicopharma Limited","monicopharma-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"121","MSF Pharmaceuticals Ltd.,","msf-pharmaceuticals-ltd.,","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"122","MST Pharma and Healthcare Ltd.","mst-pharma-and-healthcare-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"123","Mundipharma (Bangladesh) Pvt. Ltd.","mundipharma-(bangladesh)-pvt.-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"124","Mystic Pharmaceuticals Ltd.","mystic-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"125","Naafco Pharma Ltd.","naafco-pharma-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"126","National Drug Company Ltd.","national-drug-company-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"127","National Laboratories Ltd.","national-laboratories-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"128","Navana Pharmaceuticals Ltd.","navana-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"129","Newtec Pharmaceuticals Ltd.","newtec-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"130","Nip Chemicals And Pharmaceuticals Ltd.","nip-chemicals-and-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"131","Nipa Pharmaceuticals Ltd.","nipa-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"132","NIPRO JMI Company Ltd.","nipro-jmi-company-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"133","NIPRO JMI Pharma Limited","nipro-jmi-pharma-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"134","Novartis  (Bangladesh) Ltd.","novartis--(bangladesh)-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"135","Novatek Pharmaceuticals Ltd.","novatek-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"136","Novo Healthcare and Pharma Ltd.","novo-healthcare-and-pharma-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"137","Novo Healthcare and Pharma Ltd. (Unit-2)","novo-healthcare-and-pharma-ltd.-(unit-2)","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"138","Novus Pharmaceuticals Ltd.","novus-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"139","Nuvista Pharma Ltd","nuvista-pharma-ltd","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"140","One Pharma Ltd.","one-pharma-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"141","Opsonin Bulk Drugs Ltd.","opsonin-bulk-drugs-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"142","Opsonin Pharma Limited","opsonin-pharma-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"143","Orion Infusion Ltd.","orion-infusion-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"144","Orion Pharma Ltd.","orion-pharma-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"145","OSL Pharma Ltd.","osl-pharma-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"146","Oyster Pharmaceuticals Ltd.","oyster-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"147","Pacific Pharmaceuticals Ltd.","pacific-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
